"Name","Article_Number","Origin","Alcohol","Price","Volume","Manufacturer","Type","Region","Vintage","Is_New"
"Harveys Bristol Cream","822801","","17,5 %","119,00 kr","750 ml","Whyte and Mackay","","Jerez","","No"
"Les Hauts de Castelmaure Corbières","7843801","","14 %","124,00 kr","750 ml","JeanJean","","Languedoc","2016","No"
"Cono Sur Bícicleta Gewürztraminer","668001","Chile","13,5 %","85,00 kr","750 ml","Cono Sur","Vitt","South Region","2018","No"
"Kuentz Bas Gewürztraminer MosaïK","8538701","Frankrike","13 %","167,00 kr","750 ml","Domaine Kuentz-Bas","Vitt","Alsace","2015","No"
"Scala dei Prior","8183201","Spanien","15 %","279,00 kr","750 ml","","Rött","Katalonien","2016","No"
"Wildflower Chardonnay Sauvignon Blanc","7480301","Australien","12 %","79,00 kr","750 ml","McPherson WINE Co","Vitt","South Eastern Australia","2018","No"
"Cuatro Pasos Mencía","7300601","Spanien","13,5 %","","750 ml","","Rött","Kastilien-León","2016","No"
"Trapiche Malbec Oak Cask","1655401","","13,5 %","89,00 kr","750 ml","Trapiche","","Mendoza","2017","No"
"Shackleton blended malt","8550801","","40 %","","700 ml","Whyte and Mackay","","","","No"
"Tamnavulin Speyside Malt Whiskey","8190001","","40 %","349,00 kr","700 ml","Whyte and Mackay","","","","No"
"The Pavillion Shiraz/Cabernet Sauvignon","7012801","Sydafrika","13,5 %","79,00 kr","750 ml","Boschendal","Rött","Western Cape","2016","No"
"Cono Sur Organic Chardonnay EKO","660001","Chile","13 %","89,00 kr","750 ml","Cono Sur","Vitt","Aconcagua","2018","No"
"Cono Sur Organic Pinot Noir EKO","464101","Chile","13,5 %","99,00 kr","750 ml","Cono Sur","Rött","","2018","No"
"Coto De Imaz Gran Reserva","7637501","Spanien","14 %","177,00 kr","750 ml","El Coto de Rioja","Rött","Rioja","2012","No"
"Domaine Laroche Chablis Saint Martin","714301","Frankrike","12,5 %","165,00 kr","750 ml","Domaine Laroche","Vitt","Bourgogne","2018","No"
"Domaine Laroche Chablis Saint Martin","714302","Frankrike","12,5 %","97,00 kr","380 ml","Domaine Laroche","Vitt","Bourgogne","2018","No"
"Domaine Laroche Chablis Grand Cru Les Clos","7354101","Frankrike","12 %","627,00 kr","750 ml","Domaine Laroche","Vitt","Bourgogne","2010","No"
"Mâcon-Villages","7991501","Frankrike","13 %","159,00 kr","750 ml","Henri de Villamont","Vitt","Bourgogne","2015","No"
"McPherson Chardonnay","1644502","Australien","13 %","47,00 kr","380 ml","McPherson WINE Co","Vitt","South Eastern Australia","2017","No"
"McPherson Chardonnay","1644501","Australien","12,5 %","95,00 kr","750 ml","McPherson WINE Co","Vitt","South Eastern Australia","2017","No"
"Mineral","","Spanien","14,5 %","","750 ml","","Rött","Katalonien","2016","No"
"Prüm Blue Riesling Kabinett","7001201","Tyskland","11,5 %","149,00 kr","750 ml","S.A Prüm","Vitt","Mosel","2017","No"
"Raimat Ventada Garnatxa Blanca EKO","7905201","Spanien","13 %","115,00 kr","750 ml","","Vitt","Katalonien","2017","No"
"Single Vineyard Riesling","272901","Chile","13 %","99,00 kr","750 ml","Cono Sur","Vitt","South Region","2017","No"
"Louis M Martini Napa Valley Cabernet Sauvignon","","USA","15,5 %","","750 ml","Louis M Martini","Rött","Kalifornien","2014","No"
